country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"Net transfers on external debt, public sector (PPG) (NTR, current US$)",DT.NTR.DEPS.CD,549910403
Afghanistan,AFG,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,1124919588
Afghanistan,AFG,"OPS, bilateral (AMT, current US$)",DT.AMT.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (DIS, current US$)",DT.DIS.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (DOD, current US$)",DT.DOD.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (INT, current US$)",DT.INT.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (NFL, current US$)",DT.NFL.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (NTR, current US$)",DT.NTR.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral (TDS, current US$)",DT.TDS.BLAT.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral concessional (INT, current US$)",DT.INT.BLTC.OPS.CD,0
Afghanistan,AFG,"OPS, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.OPS.CD,0
